,APPL,MSFT,NVDA,AMZN,META,GOOGL,BRK.B,LLY,AVGO,TSLA
30-Sep-2019,55.99,139.03,4.35,86.80,178.08,61.06,208.02,111.83,27.61,16.06
31-Oct-2019,62.19,143.37,5.03,88.83,191.65,62.94,212.58,113.95,29.29,20.99
30-Nov-2019,66.81,151.38,5.42,90.04,201.64,65.20,220.30,117.35,31.62,22.00
31-Dec-2019,73.41,157.70,5.88,92.39,205.25,66.97,226.50,131.43,31.60,27.89
31-Jan-2020,77.38,170.23,5.91,100.44,201.91,71.64,224.43,139.64,30.52,43.37
29-Feb-2020,68.34,162.01,6.75,94.19,192.47,66.96,206.34,126.13,27.26,44.53
31-Mar-2020,63.57,157.71,6.59,97.49,166.80,58.10,182.83,138.72,23.71,34.93
30-Apr-2020,73.45,179.21,7.31,123.70,204.71,67.34,187.36,154.64,27.16,52.13
31-May-2020,79.49,183.25,8.88,122.12,225.09,71.68,185.58,152.95,29.13,55.67
30-Jun-2020,91.20,203.51,9.50,137.94,227.07,70.90,178.51,164.18,31.56,71.99
31-Jul-2020,106.26,205.01,10.61,158.23,253.67,74.40,195.78,150.29,31.68,95.38
31-Aug-2020,129.04,225.53,13.37,172.55,293.20,81.48,218.04,148.39,34.72,166.11
30-Sep-2020,115.81,210.33,13.53,157.44,261.90,73.28,212.94,148.02,36.43,143.00
31-Oct-2020,108.86,202.47,12.53,151.81,263.11,80.81,201.90,130.46,34.96,129.35
30-Nov-2020,119.05,214.07,13.40,158.40,276.97,87.72,228.91,145.65,40.16,189.20
31-Dec-2020,132.69,222.42,13.06,162.85,273.16,87.63,231.87,168.84,43.79,235.22
31-Jan-2021,131.96,231.96,12.99,160.31,258.33,91.37,227.87,207.97,45.05,264.51
28-Feb-2021,121.26,232.38,13.71,154.65,257.62,101.10,240.51,204.89,46.99,225.17
31-Mar-2021,122.15,235.77,13.35,154.70,294.53,103.13,255.47,186.82,46.37,222.64
30-Apr-2021,131.46,252.18,15.01,173.37,325.08,117.68,274.95,182.77,45.62,236.48
31-May-2021,124.61,249.68,16.24,161.15,328.73,117.84,289.44,199.74,47.23,208.41
30-Jun-2021,136.96,270.90,20.00,172.01,347.71,122.09,277.92,229.52,47.68,226.57
31-Jul-2021,145.86,284.91,19.50,166.38,356.30,134.73,278.29,243.50,48.54,229.07
31-Aug-2021,151.83,301.88,22.39,173.54,379.38,144.70,285.77,258.29,49.72,245.24
30-Sep-2021,141.50,281.92,20.72,164.25,339.39,133.68,272.94,231.05,48.49,258.49
31-Oct-2021,149.80,331.62,25.57,168.62,323.57,148.05,287.01,254.76,53.17,371.33
30-Nov-2021,165.30,330.59,32.68,175.35,324.46,141.90,276.69,248.04,55.37,381.59
31-Dec-2021,177.57,336.32,29.41,166.72,336.35,144.85,299.00,276.22,66.54,352.26
31-Jan-2022,174.78,310.98,24.49,149.57,313.26,135.30,313.02,245.39,58.59,312.24
28-Feb-2022,165.12,298.79,24.39,153.56,211.03,135.06,321.45,249.95,58.74,290.14
31-Mar-2022,174.61,308.31,27.29,163.00,222.36,139.07,352.91,286.37,62.97,359.20
30-Apr-2022,157.65,277.52,18.55,124.28,200.47,114.11,322.83,292.13,55.44,290.25
31-May-2022,148.84,271.87,18.67,120.21,193.64,113.76,315.98,313.44,58.01,252.75
30-Jun-2022,136.72,256.83,15.16,106.21,161.25,108.96,273.02,324.23,48.58,224.47
31-Jul-2022,162.51,280.74,18.16,134.95,159.10,116.32,300.60,329.69,53.55,297.15
31-Aug-2022,157.22,261.47,15.09,126.77,162.93,108.22,280.80,301.23,49.91,275.61
